name;rank;year;company;country;worth
Bill Gates;1;1996;Microsoft;USA;18,5
Bill Gates;1;2001;Microsoft;USA;58,7
Bill Gates;1;2014;Microsoft;USA;76
Warren Buffett;2;1996;Berkshire Hathaway;USA;15
Warren Buffett;2;2001;Berkshire Hathaway;USA;32,3
Carlos Slim Helu;2;2014;Telmex;MEX;72
Oeri Hoffman and Sacher;3;1996;F. Hoffmann-La Roche;CHE;13,1
Paul Allen;3;2001;Microsoft;USA;30,4
Amancio Ortega;3;2014;Zara;ESP;64
Lee Shau Kee;4;1996;Henderson Land Development;HKG;12,7
Larry Ellison;4;2001;Oracle;USA;26
Warren Buffett;4;2014;Berkshire Hathaway;USA;58,2
Tsai Wan-lin;5;1996;Lin Yuan Group;Taiwan;12,2
Theo and Karl Albrecht;5;2001;Aldi;DEU;25
Larry Ellison;5;2014;Oracle;USA;48
Walter Thomas and Raymond Kwok;6;1996;Sun Hung Kai Properties;HKG;11,2
Prince Alwaleed Bin Talal Alsaud;6;2001;Kingdom Holding Company;SAU;20
Charles Koch;6;2014;Koch industries;USA;40
David Koch;6;2014;Koch industries;USA;40
Li Ka-shing;7;1996;Cheung king;HKG;10,6
Jim Walton;7;2001;Walmart;USA;18,8
Yoshiaki Tsutsumi;8;1996;Seibu Corporation;JPN;9,2
John Walton;8;2001;Walmart;USA;18,7
Sheldon Adelson;8;2014;Las Vegas Sands;USA;38
Theo and Karl Albrecht;9;1996;Aldi Nord;DEU;9
S Robson Walton;9;2001;Walmart;USA;18,6
Christy Walton;9;2014;Walmart;USA;36,7
Hans and Gad Rausing;10;1996;Tetra Pak;SWE;9
Alice Walton;10;2001;Walmart;USA;18,5
Helen Walton;10;2001;Walmart;USA;18,5
Jim Walton;10;2014;Walmart;USA;34,7
Johanna Quandt;11;1996;BMW;DEU;8,1
Liliane Bettencourt;11;2014;L'Oreal;FRA;34,5
Haniel family;12;1996;Franz Haniel & Cie;DEU;8,1
Johanna Quandt;12;2001;BMW;DEU;17,8
Stefan Persson;12;2014; H&M;SWE;34,4
Paul Allen;13;1996;Microsoft;USA;7,5
Steven Ballmer;13;2001;Microsoft;USA;16,6
Alice Walton;13;2014;Walmart;USA;34,3
Kenneth Thomson;14;1996;Thomson Corporation (now Thomson Reuters);CAN;7,4
Kenneth Thomson;14;2001;Thomson Corporation (now Thomson Reuters);CAN;16,4
S. Robson Walton;14;2014;Walmart;USA;34,2
John Kluge;15;1996;Metropolitan Broadcasting Corporation;USA;7,2
Liliane Bettencourt;15;2001;L'Oreal;FRA;15,6
Bernard Arnault;15;2014;LVMH;FRA;33,5
Tan Yu;16;1996;Asiaworld Internationale Group;PHL;7
Philip Anschutz;16;2001;Circle A Drilling;USA;15,3
Michael Bloomberg;16;2014;Bloomberg;USA;33
Wonowidjojo family;17;1996;Gudang Garam;IDN;6,7
Ingvar Kamprad;17;2001;IKEA;SWE;13
Larry Page;17;2014;Google;USA;32,3
Carlos Slim Helu;18;1996;Telmex;MEX;6,1
Li Ka-shing;18;2001;Cheung king;HKG;12,6
Sumner Redstone;18;2001;National Amusements;USA;12,6
Jeff Bezos;18;2014;Amazon;USA;32
Larry Ellison;19;1996;Oracle;USA;6
Sergey Brin;19;2014;Google;USA;31,8
Chung Ju-yung;20;1996;Hyundai Group;KOR;5,9
Leo Kirch;20;2001;Kirch Group;DEU;12
Li Ka-shing;20;2014;Cheung Kong;HKG;31
Gerard Mulliez;21;1996;Auchan;FRA;5,7
Anne Cox Chambers;21;2001;Cox Enterprises;USA;11,7
Barbara Cox Anthony;21;2001;Cox Enterprises;USA;11,7
Mark Zuckerberg;21;2014; Facebook;USA;28,5
Robert Kuok;22;1996;Tana Exploration Company;MYS;5,7
Michele Ferrero;22;2014;Ferrero spa;ITA;26,5
Kwek Leng Beng;23;1996;Hong Leong Group;SGP;5,7
Walter Thomas and Raymond Kwok;23;2001;Sun Hung Kai Properties;HKG;11,5
Aliko Dangote;23;2014;Dangote Group;NGA;25
Karl Albrecht;23;2014;Aldi Sud;DEU;25
Cheng Yu-tung;24;1996;Chow Tai Fook Enterprises;HKG;5,5
John Kluge;24;2001;Metropolitan Broadcasting Corporation;USA;10,9
Walter Haefner;25;1996;Automation Center;CHE;5,5
Carlos Slim Helu;25;2001;Telmex;MEX;10,8
Carl Icahn;25;2014;Icahn Enterprises;USA;24,5
Philip Knight;26;1996;Nike;USA;5,3
Bernard Arnault;26;2001;LVMH;FRA;10,7
George Soros;26;2014;Soros Fund Management;USA;23
Michael Otto;27;1996;Otto Group;DEU;5,2
Ernesto Bertarelli;27;2001;Serono;CHE;10,5
Michael Dell;27;2001;Dell;USA;10,5
David Thomson;27;2014;Thomson Corporation (now Thomson Reuters);CAN;22,6
Fong Teng;28;1996;Sino Group;HKG;5,2
Lui Che Woo;28;2014;K. Wah Group;HKG;22
Robert and Ten Fong Ng;29;1996;Sino Group;HKG;5,2
Silvio Berlusconi;29;2001;Fininvest;ITA;10,3
Dieter Schwarz;29;2014;Schwarz Group;DEU;21,1
Yasuo Takei;30;1996;Takefuji;JPN;5,2
Abigail Johnson;30;2001;Fidelity Investments;USA;9,1
Prince Alwaleed Bin Talal Alsaud;30;2014;Kingdom Holding Company;SAU;20,4
